passage_date,passage_time,passage_direction,species,body_depth,length_coefficient,total_length,life_stage,count,sex,ad_clip,fish_condition,id_certainty,silhouette_quality,video_quality,video_problems,vaki_trap,comments
2012-01-19T00:00:00Z,23:36:00,up,rbt,80,4.8,384,j,1,unk,NA,good,l,poor,poor,no,vaki,NA
2012-01-19T00:00:00Z,23:37:00,up,rbt,77,4.8,370,j,1,unk,NA,good,l,poor,poor,no,vaki,NA
2012-01-21T00:00:00Z,19:57:00,up,rbt,105,4.8,504,a,1,unk,yes,good,p,poor,fair,no,vaki,NA
2012-01-22T00:00:00Z,05:10:00,up,rbt,85,4.8,408,a,1,unk,yes,good,p,poor,poor,em,vaki,NA
2012-01-22T00:00:00Z,10:47:00,up,rbt,87,4.8,418,a,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-01-22T00:00:00Z,17:58:00,up,rbt,77,4.8,370,j,1,unk,yes,good,l,fair,poor,no,vaki,NA
2012-01-22T00:00:00Z,17:58:00,up,rbt,80,4.8,384,j,1,unk,yes,good,p,fair,poor,no,vaki,NA
2012-01-22T00:00:00Z,18:05:00,up,rbt,85,4.8,408,a,1,unk,yes,good,p,fair,poor,no,vaki,NA
2012-01-22T00:00:00Z,21:49:00,up,rbt,80,4.8,384,j,1,unk,yes,good,p,fair,poor,no,vaki,NA
2012-01-22T00:00:00Z,21:49:00,down,rbt,75,4.8,360,j,-1,unk,yes,good,vl,poor,none,no,vaki,NA
2012-01-27T00:00:00Z,15:11:00,up,rbt,90,4.8,432,a,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-01-28T00:00:00Z,00:11:00,up,rbt,105,4.8,504,a,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-01-30T00:00:00Z,00:37:00,up,rbt,80,4.8,384,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-01T00:00:00Z,20:38:00,up,rbt,75,4.8,360,j,1,unk,yes,good,p,fair,poor,tb,vaki,NA
2012-02-01T00:00:00Z,20:38:00,down,rbt,60,4.8,288,j,-1,unk,yes,good,l,poor,none,no,vaki,NA
2012-02-02T00:00:00Z,21:23:00,up,rbt,60,4.8,288,j,1,unk,yes,good,p,fair,poor,no,vaki,NA
2012-02-02T00:00:00Z,21:23:00,down,rbt,62,4.8,298,j,-1,unk,yes,good,l,fair,none,no,vaki,NA
2012-02-03T00:00:00Z,15:21:00,up,rbt,105,4.8,504,a,1,f,no,good,p,fair,fair,no,vaki,NA
2012-02-03T00:00:00Z,15:56:00,up,rbt,70,4.8,336,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-04T00:00:00Z,23:12:00,up,rbt,82,4.8,394,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-06T00:00:00Z,00:17:00,up,rbt,80,4.8,384,j,1,unk,NA,good,p,fair,fair,or,vaki,NA
2012-02-08T00:00:00Z,01:57:00,up,rbt,80,4.8,384,j,1,unk,yes,good,vl,fair,fair,or,vaki,NA
2012-02-10T00:00:00Z,02:53:00,up,rbt,80,4.8,384,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-02-10T00:00:00Z,02:53:00,down,rbt,65,4.8,312,j,-1,unk,no,good,p,fair,none,no,vaki,NA
2012-02-10T00:00:00Z,03:13:00,up,rbt,82,4.8,394,j,1,f,no,good,p,fair,fair,no,vaki,NA
2012-02-14T00:00:00Z,18:02:00,up,rbt,75,4.8,360,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-17T00:00:00Z,06:29:00,up,rbt,100,4.8,480,a,1,m,no,good,p,fair,fair,no,vaki,NA
2012-02-17T00:00:00Z,06:29:00,down,rbt,82,4.8,394,j,-1,m,no,good,p,fair,none,no,vaki,NA
2012-02-18T00:00:00Z,12:33:00,up,rbt,62,4.8,298,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-19T00:00:00Z,11:15:00,up,rbt,57,4.8,274,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-19T00:00:00Z,18:13:00,up,rbt,62,4.8,298,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-21T00:00:00Z,16:43:00,up,rbt,72,4.8,346,j,1,f,yes,good,p,fair,fair,no,vaki,NA
2012-02-22T00:00:00Z,10:09:00,up,rbt,47,4.8,226,j,1,f,no,good,p,poor,fair,no,vaki,NA
2012-02-23T00:00:00Z,09:18:00,up,rbt,62,4.8,298,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-23T00:00:00Z,18:00:00,up,rbt,65,4.8,312,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-23T00:00:00Z,18:19:00,up,rbt,65,4.8,312,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-24T00:00:00Z,07:23:00,up,rbt,62,4.8,298,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-24T00:00:00Z,09:04:00,up,rbt,65,4.8,312,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-24T00:00:00Z,11:32:00,up,rbt,70,4.8,336,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-24T00:00:00Z,11:32:00,down,rbt,62,4.8,298,j,-1,unk,yes,good,vl,fair,none,no,vaki,NA
2012-02-24T00:00:00Z,12:06:00,up,rbt,75,4.8,360,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-25T00:00:00Z,00:16:00,up,rbt,62,4.8,298,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-25T00:00:00Z,02:36:00,up,rbt,65,4.8,312,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-02-25T00:00:00Z,07:06:00,up,rbt,65,4.8,312,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-26T00:00:00Z,11:32:00,up,rbt,65,4.8,312,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-26T00:00:00Z,16:20:00,up,rbt,60,4.8,288,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-28T00:00:00Z,10:34:00,up,rbt,65,4.8,312,j,1,m,yes,good,p,fair,fair,no,vaki,NA
2012-02-28T00:00:00Z,15:21:00,up,rbt,62,4.8,298,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-02-28T00:00:00Z,18:09:00,up,rbt,65,4.8,312,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-03-01T00:00:00Z,00:20:00,up,rbt,63,4.8,302,j,1,unk,yes,good,p,poor,fair,no,vaki,NA
2012-03-01T00:00:00Z,11:11:00,up,rbt,95,4.8,456,a,1,f,no,good,p,good,fair,no,vaki,NA
2012-03-02T00:00:00Z,17:26:00,up,rbt,75,4.8,360,j,1,m,yes,good,p,fair,fair,no,vaki,NA
2012-03-09T00:00:00Z,17:11:00,up,rbt,60,4.8,288,j,1,unk,yes,good,p,poor,fair,no,vaki,NA
2012-03-10T00:00:00Z,06:09:00,up,rbt,80,4.8,384,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-03-17T00:00:00Z,12:07:00,up,rbt,67,4.8,322,j,1,unk,yes,good,p,poor,fair,no,vaki,NA
2012-03-21T00:00:00Z,19:58:00,up,rbt,50,4.8,240,j,1,unk,yes,good,p,poor,fair,no,vaki,NA
2012-03-23T00:00:00Z,23:37:00,up,rbt,110,4.8,528,a,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-03-26T00:00:00Z,20:59:00,up,rbt,58,4.8,278,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-03-30T00:00:00Z,23:52:00,up,rbt,80,4.8,384,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-04-02T00:00:00Z,13:05:00,up,rbt,52,4.8,250,j,1,unk,NA,good,l,poor,fair,no,vaki,NA
2012-04-02T00:00:00Z,13:05:00,up,rbt,50,4.8,240,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-10-15T00:00:00Z,16:52:00,up,rbt,45,4.8,216,j,1,unk,no,good,p,fair,poor,tb,vaki,NA
2012-10-18T00:00:00Z,08:39:00,up,rbt,70,4.8,336,j,1,unk,yes,good,p,fair,poor,tb,vaki,NA
2012-10-19T00:00:00Z,17:51:00,up,rbt,87,4.8,418,a,1,unk,NA,good,p,fair,fair,no,vaki,NA
2012-10-25T00:00:00Z,11:38:00,up,rbt,50,4.8,240,j,1,unk,NA,good,p,fair,fair,no,vaki,NA
2012-10-27T00:00:00Z,08:00:00,up,rbt,52,4.8,250,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-10-28T00:00:00Z,06:06:00,up,rbt,60,4.8,288,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-10-28T00:00:00Z,06:07:00,down,rbt,52,4.8,250,j,-1,unk,no,good,l,poor,none,NA,vaki,NA
2012-10-28T00:00:00Z,12:18:00,up,rbt,60,4.8,288,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-10-30T00:00:00Z,05:19:00,up,rbt,70,4.8,336,j,1,unk,no,good,l,fair,fair,or,vaki,NA
2012-11-01T00:00:00Z,10:37:00,up,rbt,65,4.8,312,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-11-04T00:00:00Z,03:59:00,up,rbt,80,4.8,384,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-11-04T00:00:00Z,11:29:00,up,rbt,40,4.8,192,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-11-10T00:00:00Z,14:52:00,up,rbt,55,4.8,264,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-11-14T00:00:00Z,11:57:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-11-24T00:00:00Z,18:24:00,up,rbt,45,4.8,216,j,1,unk,yes,good,l,poor,fair,no,vaki,NA
2012-11-26T00:00:00Z,05:48:00,up,rbt,62,4.8,298,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-11-26T00:00:00Z,09:38:00,up,rbt,65,4.8,312,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-12-04T00:00:00Z,14:26:00,up,rbt,62,4.8,298,j,1,unk,no,good,p,fair,poor,tb,vaki,NA
2012-12-05T00:00:00Z,03:54:00,up,rbt,82,4.8,394,j,1,m,yes,good,l,fair,fair,no,vaki,NA
2012-12-05T00:00:00Z,11:41:00,up,rbt,40,4.8,192,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-12-08T00:00:00Z,03:41:00,up,rbt,107,4.8,514,a,1,unk,yes,good,p,poor,fair,no,vaki,NA
2012-12-10T00:00:00Z,09:58:00,up,rbt,45,4.8,216,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-12-11T00:00:00Z,06:46:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-12-12T00:00:00Z,07:03:00,up,rbt,45,4.8,216,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-12-13T00:00:00Z,00:14:00,up,rbt,97,4.8,466,a,1,f,no,good,p,fair,fair,no,vaki,NA
2012-12-13T00:00:00Z,07:08:00,up,rbt,47,4.8,226,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-12-13T00:00:00Z,07:52:00,up,rbt,40,4.8,192,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-12-13T00:00:00Z,22:25:00,up,rbt,95,4.8,456,a,1,f,yes,good,p,poor,fair,no,vaki,NA
2012-12-13T00:00:00Z,22:26:00,down,rbt,105,4.8,504,a,-1,f,yes,good,p,poor,none,NA,vaki,NA
2012-12-14T00:00:00Z,18:11:00,up,rbt,107,4.8,514,a,1,f,yes,good,p,fair,fair,no,vaki,NA
2012-12-14T00:00:00Z,18:11:00,down,rbt,93,4.8,446,a,-1,f,yes,good,p,poor,none,NA,vaki,NA
2012-12-14T00:00:00Z,18:22:00,up,rbt,102,4.8,490,a,1,f,yes,good,p,fair,fair,no,vaki,NA
2012-12-15T00:00:00Z,06:45:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-12-16T00:00:00Z,06:44:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-12-16T00:00:00Z,12:14:00,up,rbt,45,4.8,216,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-12-18T00:00:00Z,22:02:00,up,rbt,100,4.8,480,a,1,f,yes,good,p,fair,fair,no,vaki,NA
2012-12-20T00:00:00Z,07:46:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,poor,poor,ss,vaki,NA
2012-12-20T00:00:00Z,10:54:00,up,rbt,40,4.8,192,j,1,unk,NA,good,p,poor,fair,no,vaki,NA
2012-12-20T00:00:00Z,14:34:00,up,rbt,42,4.8,202,j,1,unk,NA,good,l,poor,poor,or,vaki,NA
2012-12-20T00:00:00Z,14:34:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2012-12-21T00:00:00Z,06:30:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,poor,poor,or,vaki,NA
2013-01-01T00:00:00Z,01:38:00,up,rbt,77,4.8,370,j,1,unk,NA,good,l,poor,poor,tb,vaki,NA
2013-01-03T00:00:00Z,13:41:00,up,rbt,40,4.8,192,j,1,unk,NA,good,vl,poor,poor,tb,vaki,NA
2013-01-13T00:00:00Z,08:33:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,poor,fair,tb,vaki,NA
2013-01-13T00:00:00Z,16:24:00,up,rbt,55,4.8,264,j,1,unk,no,good,p,fair,fair,tb,vaki,NA
2013-01-15T00:00:00Z,08:13:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,fair,fair,tb,vaki,NA
2013-01-16T00:00:00Z,08:03:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,poor,fair,tb,vaki,NA
2013-01-17T00:00:00Z,07:14:00,up,rbt,47,4.8,226,j,1,unk,no,good,p,poor,fair,tb,vaki,NA
2013-01-17T00:00:00Z,12:16:00,up,rbt,45,4.8,216,j,1,unk,no,good,p,poor,fair,tb,vaki,NA
